,Player,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER
1314,Ed Horton,8.3,1.8,3.6,0.494,0,0.1,0,1.8,3.5,0.506,0.494,0.9,1.5,0.609,1.3,1.1,2.4,0.4,0.2,0.1,0.9,1.4,4.5,26.21
1315,Joe Crawford,11.5,1.5,5,0.3,0.5,2,0.25,1,3,0.333,0.35,1,1,1,0.5,1.5,2,0.5,0.5,0,0,1,4.5,23.2
1316,Lavoy Allen,16.3875,2,4.275,0.47,0,0.0625,0.0385,1.9875,4.2125,0.474,0.470875,0.4625,0.6875,0.683375,1.7125,2.7875,4.4875,0.95,0.2875,0.5125,0.625,1.7375,4.5,18.85375
1317,Eduardo Nájera,16.8375,1.7875,3.86875,0.4555625,0.19375,0.675,0.2443125,1.59375,3.19375,0.498625,0.485125,0.71875,1.1125,0.6066875,1.2625,2.11875,3.3625,0.7875,0.66875,0.33125,0.64375,2.1625,4.49375,16.25625
1318,Greg Graham,11.84285714,1.542857143,3.571428571,0.440857143,0.357142857,1.057142857,0.263142857,1.2,2.528571429,0.489714286,0.489857143,1.042857143,1.328571429,0.801571429,0.285714286,0.742857143,1,0.985714286,0.514285714,0.028571429,1.085714286,1.171428571,4.485714286,17.20714286
1319,Sundiata Gaines,11.81666667,1.7,4.2,0.4005,0.383333333,1.466666667,0.269166667,1.316666667,2.716666667,0.478,0.445,0.75,1.483333333,0.499666667,0.433333333,1.016666667,1.483333333,1.716666667,0.683333333,0.033333333,0.966666667,0.966666667,4.483333333,22.06833333
1320,Alan Williams,10.275,1.725,3.575,0.4845,0,0.05,0,1.725,3.525,0.498,0.4845,1,1.6,0.60875,1.2,3.35,4.55,0.8,0.55,0.35,0.75,1.8,4.475,31.5175
1321,Skal Labissière,11.1,1.75,3.55,0.524,0.275,0.625,0.54475,1.475,2.95,0.534,0.574,0.7,1.075,0.59475,0.75,1.95,2.675,0.7,0.275,0.4,0.65,1.5,4.475,22.1875
1322,James Singleton,15.05714286,1.742857143,3.857142857,0.441857143,0.157142857,0.571428571,0.258571429,1.6,3.271428571,0.478142857,0.463571429,0.857142857,1,0.860714286,1.528571429,2.771428571,4.285714286,0.571428571,0.457142857,0.585714286,0.685714286,1.757142857,4.471428571,19.34714286
1323,Jeff Foster,18.91538462,1.753846154,3.507692308,0.495,0.007692308,0.076923077,0.131153846,1.738461538,3.438461538,0.500769231,0.498,0.953846154,1.546153846,0.609923077,2.530769231,3.776923077,6.307692308,0.884615385,0.615384615,0.369230769,0.746153846,2.430769231,4.469230769,18.85076923
1324,Frank Johnson,13.55,1.85,4.2,0.442,0,0.2,0.125,1.85,4,0.455,0.445,0.8,1,0.7795,0.45,0.85,1.35,2.25,0.7,0.05,0.95,1.6,4.45,19.47
1325,Elliot Perry,13.5625,1.8,4.03125,0.43775,0.15,0.4375,0.2753125,1.65625,3.5875,0.45025,0.455125,0.675,0.90625,0.6548125,0.2625,0.94375,1.19375,2.4375,0.8625,0.025,1.31875,1.0875,4.44375,18.698125
