,Lat,Long,School
561,32.2318851,-110.9501094,Arizona
562,33.4242399,-111.9280527,Arizona State
563,32.77572170000001,-117.0718893,San Diego State
564,35.1876457,-111.654093,Northern Arizona
565,33.7838235,-118.1140904,Long Beach State
566,37.22838429999999,-80.42341669999999,Virginia Tech
567,35.9049122,-79.0469134,North Carolina
568,38.0306511,-84.5039697,Kentucky
569,30.4132579,-91.1800023,Louisiana State
570,41.8077414,-72.2539805,Connecticut
571,37.4274745,-122.169719,Stanford
572,38.0306511,-84.5039697,Kentucky
573,40.4443533,-79.960835,Pittsburgh
574,30.2114404,-92.0204121,Louisiana
575,42.701848,-84.4821719,Michigan State
576,36.0014258,-78.9382286,Duke
577,34.068921,-118.4451811,UCLA
578,41.2654838,-95.9472079,Creighton
579,42.2780436,-83.7382241,Michigan
580,34.6738437,-82.8368654,Clemson
581,39.1754487,-86.512627,Indiana
582,35.7846633,-78.6820946,North Carolina State
583,38.0306511,-84.5039697,Kentucky
584,38.9543439,-95.2557961,Kansas
585,38.6487895,-90.31079620000001,Washington
586,37.5758681,-77.5409744,Richmond
587,32.77572170000001,-117.0718893,San Diego State
588,42.2780436,-83.7382241,Michigan
589,35.9544013,-83.92945639999999,Tennessee
590,42.2780436,-83.7382241,Michigan
591,36.1270236,-97.07372219999999,Oklahoma State
592,38.2122761,-85.75850229999999,Louisville
593,39.149448,-84.47363740000002,Xavier
594,38.9403808,-92.32773750000001,Missouri
595,40.00758099999999,-105.2659417,Colorado
596,41.8077414,-72.2539805,Connecticut
597,35.0843187,-106.6197812,New Mexico
598,34.068921,-118.4451811,UCLA
599,36.1270236,-97.07372219999999,Oklahoma State
600,44.53207339999999,-87.92171429999999,Green Bay
601,36.0014258,-78.9382286,Duke
602,37.4274745,-122.169719,Stanford
603,42.701848,-84.4821719,Michigan State
604,31.5497007,-97.1143046,Baylor
605,36.3435415,-88.8643812,Tennessee-Martin
606,31.7709368,-106.5046405,Texas-El Paso
607,32.2318851,-110.9501094,Arizona
608,38.0335529,-78.5079772,Virginia
609,37.7215022,-97.2861691,Wichita State
610,38.9543439,-95.2557961,Kansas
611,43.0391534,-76.1351158,Syracuse
612,29.0349641,-81.3032406,Stetson
613,43.0391534,-76.1351158,Syracuse
614,32.2318851,-110.9501094,Arizona
615,36.0014258,-78.9382286,Duke
616,38.9543439,-95.2557961,Kansas
617,41.3148754,-105.5665744,Wyoming
618,35.9544013,-83.92945639999999,Tennessee
619,36.6163842,-88.3214979,Murray State
620,36.0686895,-94.1748471,Arkansas
621,34.068921,-118.4451811,UCLA
622,40.7220627,-73.79421119999999,St. John's (NY)
623,38.0306511,-84.5039697,Kentucky
624,34.068921,-118.4451811,UCLA
625,30.4132579,-91.1800023,Louisiana State
626,42.3867598,-72.5300515,Massachusetts
627,30.4132579,-91.1800023,Louisiana State
628,43.0391534,-76.1351158,Syracuse
629,36.1085197,-115.1431709,Nevada-Las Vegas
630,38.0306511,-84.5039697,Kentucky
631,35.9049122,-79.0469134,North Carolina
632,37.271674,-76.71337799999999,William & Mary
633,37.271674,-76.71337799999999,William & Mary
634,30.2849185,-97.7340567,Texas
635,36.0014258,-78.9382286,Duke
636,35.3070929,-80.735164,Charlotte
637,44.0448302,-123.0726055,Oregon
638,40.7649368,-111.8421021,Utah
639,41.6626963,-91.5548998,Iowa
640,39.3437156,-94.9153472,Army
641,32.528282,-92.073415,Louisiana-Monroe
642,39.0333106,-94.57754709999999,Missouri-Kansas City
643,46.7288124,-117.0126084,Idaho
644,40.0068363,-83.0306222,Ohio State
645,38.2122761,-85.75850229999999,Louisville
646,43.0391534,-76.1351158,Syracuse
647,41.7055716,-86.2353388,Notre Dame
648,38.0306511,-84.5039697,Kentucky
649,43.076592,-89.4124875,Wisconsin
650,42.701848,-84.4821719,Michigan State
651,38.0335529,-78.5079772,Virginia
652,39.6779504,-75.7506114,Delaware
653,33.4647494,-86.79363099999999,Samford
654,38.0306511,-84.5039697,Kentucky
655,33.753068,-84.38528190000001,Georgia State
656,32.2318851,-110.9501094,Arizona
657,41.3797788,-83.6300826,Bowling Green State
658,40.037056,-75.34358,Villanova
659,43.076592,-89.4124875,Wisconsin
660,37.3530446,-79.1769529,Liberty
661,38.0306511,-84.5039697,Kentucky
