",,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced"
"Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48"
"148,2017,NBA,1,28,LAL,Tony Bradley\bradlto01,19.170,F-C,us,University of North Carolina,2018,2019,12,5.4,2.1,2.2,0.2,0.2,0.2,.407,.423,.000,.750,0.1,.087"
"149,2017,NBA,1,29,SAS,Derrick White\whitede01,22.361,G,us,University of Colorado,2018,2019,84,22.2,8.5,3.3,3.2,0.8,0.6,.479,.523,.361,.762,4.1,.106"
"150,2017,NBA,1,30,UTA,Josh Hart\hartjo01,22.114,G,us,Villanova University,2018,2019,130,24.4,7.9,3.9,1.3,0.9,0.4,.435,.530,.361,.695,5.5,.083"
"151,2017,NBA,2,31,CHO,Frank Jackson\jacksfr01,19.054,G,us,Duke University,2019,2019,61,19.2,8.1,2.2,1.1,0.4,0.0,.434,.507,.314,.740,0.4,.018"
"152,2017,NBA,2,32,PHO,Davon Reed\reedda01,22.017,G,us,University of Miami,2018,2019,31,9.3,2.4,1.5,0.5,0.4,0.1,.307,.304,.310,.667,-0.2,-0.039"
"153,2017,NBA,2,33,ORL,Wesley Iwundu\iwundwe01,22.190,F,us,Kansas State University,2018,2019,130,17.3,4.4,2.5,1.0,0.5,0.3,.419,.458,.304,.787,2.5,.054"
"154,2017,NBA,2,34,SAC,Frank Mason\masonfr01,23.086,G,us,University of Kansas,2018,2019,90,15.8,6.8,1.9,2.6,0.6,0.2,.392,.426,.300,.773,0.9,.029"
"155,2017,NBA,2,35,ORL,Ivan Rabb\rabbiv01,20.143,F,us,University of California,2018,2019,85,14.6,5.7,4.3,1.0,0.3,0.3,.555,.570,.200,.743,3.2,.125"
"156,2017,NBA,2,36,PHI,Jonah Bolden\boldejo01,21.177,F,au,,2019,2019,44,14.5,4.7,3.8,0.9,0.4,0.9,.494,.697,.354,.481,1.4,.106"
"157,2017,NBA,2,37,BOS,Semi Ojeleye\ojelese01,22.205,F,us,Southern Methodist University,2018,2019,129,13.5,3.0,1.9,0.3,0.2,0.1,.382,.485,.318,.613,1.9,.051"
